№ транзитного документа;Дата операции;Время создания;Сегодня;Задержка;№ задания;Код КА;Наименование КА;№ паллеты;Статус паллеты;Статус в диспетчере;МП паллеты;Комментарий РАО
962525N1123/2;17.01.2022;15.01.2022;16.01.2022;0,87;371519432;962525;Специфичность;958499;Сформированная;Выполненное;Транзит МС ТД-195;
509017N1363;17.01.2022;15.01.2022;16.01.2022;0,87;371519443;509017;Тешин;958500;Сформированная;Выполненное;Транзит МС ТД-202;
501089G2042/2;17.01.2022;15.01.2022;16.01.2022;0,87;371519467;501089;Почерк;958502;Сформированная;Выполненное;Транзит МС ТД-203;
509132N1335;17.01.2022;15.01.2022;16.01.2022;0,87;371519476;509132;Отортен;958504;Сформированная;Выполненное;Транзит МС ТД-209;
935015Tc0003;15.01.2022;15.01.2022;16.01.2022;0,87;371519482;935015;Бра;958505;Сформированная;Отложенное;Транзит МС ТД-212;
950673G1073;17.01.2022;15.01.2022;16.01.2022;0,87;371519596;950673;Своеволие;958507;Сформированная;Выполненное;Транзит МС ТД-215;
945083G2293/7;17.01.2022;15.01.2022;16.01.2022;0,82;371521804;945083;Дакридиум;958691;Сформированная;Выполненное;Транзит МС ТД-363;
509017N1363/2;17.01.2022;15.01.2022;16.01.2022;0,81;371521936;509017;Тешин;958705;Сформированная;Выполненное;Транзит МС ТД-691;
502784N1392/2;17.01.2022;15.01.2022;16.01.2022;0,81;371521961;502784;Магас;958710;Сформированная;Выполненное;Транзит МС ТД-687;
509132N1335/2;17.01.2022;15.01.2022;16.01.2022;0,81;371522006;509132;Отортен;958717;Сформированная;Выполненное;Транзит МС ТД-687;
694868N1339;16.01.2022;15.01.2022;16.01.2022;0,81;371522294;694868;Дикили;958730;Сформированная;Выполненное;Транзит МС ТД-622;
690076GR3220;15.01.2022;15.01.2022;16.01.2022;0,63;371554277;690076;Коловрат;959091;Сформированная;Отложенное;Транзит МС ТД-107;
771830G2682/3;17.01.2022;15.01.2022;16.01.2022;0,62;371555114;771830;Дециграмм;959420;Сформированная;Выполненное;Транзит МС ТД-315;
777995G3296/3;17.01.2022;15.01.2022;16.01.2022;0,62;371555223;777995;Супервайзер;959422;Сформированная;Выполненное;Транзит МС ТД-311;
508912GR2879;17.01.2022;15.01.2022;16.01.2022;0,62;371555495;508912;Прокурор;959424;Сформированная;Выполненное;Транзит МС ТД-319;
501089N1283;17.01.2022;15.01.2022;16.01.2022;0,61;371555528;501089;Почерк;959425;Сформированная;Выполненное;Транзит МС ТД-349;
020588G1745/3;17.01.2022;15.01.2022;16.01.2022;0,61;371555537;020588;Ривертон;959426;Сформированная;Выполненное;Транзит МС ТД-351;
503948G2523/7;17.01.2022;15.01.2022;16.01.2022;0,61;371555613;503948;Риши;959427;Сформированная;Выполненное;Транзит МС ТД-323;
997701C07564/6;17.01.2022;15.01.2022;16.01.2022;0,61;371555626;997701;Солнечногорск 1 Красная;959428;Сформированная;Выполненное;Транзит МС ТД-325;
731468G1917/3;17.01.2022;15.01.2022;16.01.2022;0,61;371555740;731468;Шоссе;959429;Сформированная;Выполненное;Транзит МС ТД-418;
509566G2220;17.01.2022;15.01.2022;16.01.2022;0,61;371555750;509566;Камышница;959430;Сформированная;Выполненное;18-ПРАВО;
509566G2220/4;17.01.2022;15.01.2022;16.01.2022;0,61;371555766;509566;Камышница;959431;Сформированная;Выполненное;18-ПРАВО;
502588GR2554/5;17.01.2022;15.01.2022;16.01.2022;0,61;371555918;502588;Ксавьер;959462;Сформированная;Выполненное;Транзит МС ТД-418;
774914G2373/1;15.01.2022;15.01.2022;16.01.2022;0,61;371556503;774914;Лососевый;959375;Сформированная;Отложенное;Транзит МС ТД-162;
997701P77632/2;17.01.2022;15.01.2022;16.01.2022;0,61;371556506;997701;Солнечногорск 1 Красная;959464;Сформированная;Выполненное;Транзит МС ТД-442;
770055G5809/3;17.01.2022;15.01.2022;16.01.2022;0,61;371556517;770055;Рекинцо;959465;Сформированная;Выполненное;Транзит МС ТД-436;
731468N1142;17.01.2022;15.01.2022;16.01.2022;0,60;371557010;731468;Шоссе;959469;Сформированная;Выполненное;Транзит МС ТД-432;
774759G4564/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557202;774759;Корумба;959470;Сформированная;Выполненное;Транзит МС ТД-355;
774759G4564/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557202;774759;Корумба;959468;Сформированная;Выполненное;Транзит МС ТД-430;
773392G4266/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557233;773392;Дастокс;959502;Сформированная;Выполненное;Транзит МС ТД-382;
773392G4266/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557233;773392;Дастокс;959467;Сформированная;Выполненное;Транзит МС ТД-321;
777759G3504/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557265;777759;Полевка;959503;Сформированная;Выполненное;Транзит МС ТД-384;
503948G2523/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557278;503948;Риши;959466;Сформированная;Выполненное;Транзит МС ТД-328;
503948G2523/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557278;503948;Риши;959504;Сформированная;Выполненное;Транзит МС ТД-386;
503948GR2523/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557443;503948;Риши;959505;Сформированная;Выполненное;Транзит МС ТД-432;
502500G3743/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557460;502500;Совхозное;959506;Сформированная;Выполненное;Транзит МС ТД-341;
502500G3743/3;17.01.2022;15.01.2022;16.01.2022;0,60;371557460;502500;Совхозное;959471;Сформированная;Выполненное;Транзит МС ТД-382;
997701PR77632/2;17.01.2022;15.01.2022;16.01.2022;0,60;371557470;997701;Солнечногорск 1 Красная;959507;Сформированная;Выполненное;Транзит МС ТД-426;
774759G4564/5;17.01.2022;15.01.2022;16.01.2022;0,60;371557473;774759;Корумба;959508;Сформированная;Выполненное;Транзит МС ТД-345;
774759G4564;17.01.2022;15.01.2022;16.01.2022;0,60;371557542;774759;Корумба;959509;Сформированная;Выполненное;Транзит МС ТД-402;
690055G4190/3;15.01.2022;15.01.2022;16.01.2022;0,60;371557559;690055;Квинта;959510;Сформированная;Отложенное;Транзит МС ТД-402;
502591G4069/3;17.01.2022;15.01.2022;16.01.2022;0,57;371558984;502591;Аплинк;959655;Сформированная;Выполненное;Транзит МС ТД-41;
770185G5279/3;17.01.2022;15.01.2022;16.01.2022;0,57;371558870;770185;Смузи;959733;Сформированная;Выполненное;Транзит МС ТД-231;
502591GR4069/3;17.01.2022;15.01.2022;16.01.2022;0,57;371559245;502591;Аплинк;959657;Сформированная;Выполненное;Транзит МС ТД-233;
503092G3001/3;17.01.2022;15.01.2022;16.01.2022;0,55;371560981;503092;Пейнтхорс;959695;Сформированная;Выполненное;Транзит МС ТД-420;
503092GR3001/3;17.01.2022;15.01.2022;16.01.2022;0,55;371561201;503092;Пейнтхорс;959696;Сформированная;Выполненное;Транзит МС ТД-416;
778109G317/3;17.01.2022;15.01.2022;16.01.2022;0,43;371568126;778109;Албани;959977;Сформированная;Выполненное;Транзит МС ТД-331;
509732G2927/2;17.01.2022;15.01.2022;16.01.2022;0,43;371568131;509732;Кроган;959978;Сформированная;Выполненное;Транзит МС ТД-336;
509732G2927;17.01.2022;15.01.2022;16.01.2022;0,42;371568341;509732;Кроган;959979;Сформированная;Выполненное;Транзит МС ТД-328;
509732G2927/3;17.01.2022;15.01.2022;16.01.2022;0,42;371568351;509732;Кроган;959980;Сформированная;Выполненное;Транзит МС ТД-324;
778109G3176/3;17.01.2022;15.01.2022;16.01.2022;0,42;371568533;778109;Албани;960329;Сформированная;Выполненное;Транзит МС ТД-326;
778109G3176/3;17.01.2022;15.01.2022;16.01.2022;0,42;371568533;778109;Албани;959981;Сформированная;Выполненное;Транзит МС ТД-355;
778065G3955/3;17.01.2022;15.01.2022;16.01.2022;0,42;371568574;778065;Светличный;960328;Сформированная;Выполненное;Транзит МС ТД-324;
778065G3955/3;17.01.2022;15.01.2022;16.01.2022;0,42;371568574;778065;Светличный;959982;Сформированная;Выполненное;Транзит МС ТД-361;
773322G4106/7;17.01.2022;15.01.2022;16.01.2022;0,37;371573026;773322;Филофет;960585;Сформированная;Выполненное;Транзит МС ТД-441;
777768G3864/8;17.01.2022;15.01.2022;16.01.2022;0,37;371573044;777768;Арнольд;960588;Сформированная;Выполненное;Транзит МС ТД-424;
509777G2260/4;15.01.2022;15.01.2022;16.01.2022;0,37;371573204;509777;Багно;960593;Сформированная;Отложенное;Транзит МС ТД-392;
777768G3864/10;17.01.2022;15.01.2022;16.01.2022;0,37;371573218;777768;Арнольд;960594;Сформированная;Выполненное;Транзит МС ТД-392;
773322G4106/8;17.01.2022;15.01.2022;16.01.2022;0,36;371573273;773322;Филофет;960595;Сформированная;Выполненное;Транзит МС ТД-339;
773322G4106/4;17.01.2022;15.01.2022;16.01.2022;0,36;371573005;773322;Филофет;960540;Сформированная;Выполненное;Транзит МС ТД-337;
691086G3382/3;17.01.2022;15.01.2022;16.01.2022;0,36;371573473;691086;Молчаливый;960596;Сформированная;Выполненное;7-ПРАВО;
691086G3382/3;17.01.2022;15.01.2022;16.01.2022;0,36;371573473;691086;Молчаливый;960597;Сформированная;Выполненное;Транзит МС ТД-448;
997726C07555/4;17.01.2022;15.01.2022;16.01.2022;0,36;371573771;997726;Красногорск 1 Спасская (а);960598;Сформированная;Выполненное;Транзит МС ТД-299;
509732G2927/6;17.01.2022;15.01.2022;16.01.2022;0,36;371573788;509732;Кроган;960600;Сформированная;Выполненное;Транзит МС ТД-306;
509732G2927/6;17.01.2022;15.01.2022;16.01.2022;0,36;371573788;509732;Кроган;959984;Сформированная;Выполненное;Транзит МС ТД-343;
777768G3864/3;17.01.2022;15.01.2022;16.01.2022;0,36;371573794;777768;Арнольд;960601;Сформированная;Выполненное;Транзит МС ТД-357;
773322G4106/3;17.01.2022;15.01.2022;16.01.2022;0,36;371574073;773322;Филофет;960602;Сформированная;Выполненное;Транзит МС ТД-396;
692854G2521/4;17.01.2022;15.01.2022;16.01.2022;0,36;371574086;692854;Выкорм;960603;Сформированная;Выполненное;Транзит МС ТД-390;
773322G4106/9;17.01.2022;15.01.2022;16.01.2022;0,36;371574107;773322;Филофет;960604;Сформированная;Выполненное;Транзит МС ТД-347;
692854G2521/3;17.01.2022;15.01.2022;16.01.2022;0,36;371574221;692854;Выкорм;960605;Сформированная;Выполненное;Транзит МС ТД-345;
691086N1426;17.01.2022;15.01.2022;16.01.2022;0,36;371574277;691086;Молчаливый;960607;Сформированная;Выполненное;Транзит МС ТД-900;
691086G3382/6;17.01.2022;15.01.2022;16.01.2022;0,36;371574307;691086;Молчаливый;960609;Сформированная;Выполненное;Транзит МС ТД-250;
692854N1223;17.01.2022;15.01.2022;16.01.2022;0,36;371574565;692854;Выкорм;960610;Сформированная;Выполненное;Транзит МС ТД-900;
777768G3864/6;17.01.2022;15.01.2022;16.01.2022;0,36;371574697;777768;Арнольд;960571;Сформированная;Выполненное;Транзит МС ТД-115;
010265GR1508/8;15.01.2022;15.01.2022;16.01.2022;0,36;371574578;010265;Легковатость;960611;Сформированная;Отложенное;Транзит МС ТД-252;
692854G2521/5;17.01.2022;15.01.2022;16.01.2022;0,35;371574978;692854;Выкорм;960622;Сформированная;Выполненное;Транзит МС ТД-900;
692854G2521;17.01.2022;15.01.2022;16.01.2022;0,35;371575026;692854;Выкорм;960623;Сформированная;Выполненное;Транзит МС ТД-900;
692861N1269/3;17.01.2022;15.01.2022;16.01.2022;0,35;371575173;692861;Добивание;960624;Сформированная;Выполненное;Транзит МС ТД-900;
777768G3864/4;17.01.2022;15.01.2022;16.01.2022;0,35;371575187;777768;Арнольд;960625;Сформированная;Выполненное;Транзит МС ТД-12;
773322G4106/2;17.01.2022;15.01.2022;16.01.2022;0,35;371575198;773322;Филофет;960626;Сформированная;Выполненное;Транзит МС ТД-194;
691086G3382;17.01.2022;15.01.2022;16.01.2022;0,35;371575205;691086;Молчаливый;960627;Сформированная;Выполненное;Транзит МС ТД-900;
692854G2521/7;17.01.2022;15.01.2022;16.01.2022;0,35;371575365;692854;Выкорм;960628;Сформированная;Выполненное;Транзит МС ТД-900;
777768G3864/5;17.01.2022;15.01.2022;16.01.2022;0,35;371575388;777768;Арнольд;960629;Сформированная;Выполненное;Транзит МС ТД-137;
777768N1417;17.01.2022;15.01.2022;16.01.2022;0,35;371575615;777768;Арнольд;960630;Сформированная;Выполненное;Транзит МС ТД-166;
692861G2523/4;17.01.2022;15.01.2022;16.01.2022;0,35;371575624;692861;Добивание;960631;Сформированная;Выполненное;Транзит МС ТД-900;
692854N1223/3;17.01.2022;15.01.2022;16.01.2022;0,35;371575653;692854;Выкорм;960652;Сформированная;Выполненное;Транзит МС ТД-900;
509777G2260;15.01.2022;15.01.2022;16.01.2022;0,35;371575673;509777;Багно;960653;Сформированная;Отложенное;Транзит МС ТД-141;
777768G3864;17.01.2022;15.01.2022;16.01.2022;0,35;371575919;777768;Арнольд;960654;Сформированная;Выполненное;Транзит МС ТД-157;
502969G2189/4;15.01.2022;15.01.2022;16.01.2022;0,35;371575940;502969;Арбитрон;960655;Сформированная;Отложенное;Транзит МС ТД-163;
773322G4106;17.01.2022;15.01.2022;16.01.2022;0,35;371575983;773322;Филофет;960656;Сформированная;Выполненное;Транзит МС ТД-450;
777768G3864/12;17.01.2022;15.01.2022;16.01.2022;0,34;371575992;777768;Арнольд;960657;Сформированная;Выполненное;Транзит МС ТД-446;
997701PR7725;17.01.2022;15.01.2022;16.01.2022;0,34;371576010;997701;Солнечногорск 1 Красная;960658;Сформированная;Выполненное;Транзит МС ТД-356;
997701C07569;17.01.2022;15.01.2022;16.01.2022;0,34;371576064;997701;Солнечногорск 1 Красная;960599;Сформированная;Выполненное;Транзит МС ТД-359;
935046G2398/3;17.01.2022;15.01.2022;16.01.2022;0,32;371577427;935046;Блоссом;960772;Сформированная;Выполненное;Транзит МС ТД-277;
503473G2636;17.01.2022;15.01.2022;16.01.2022;0,32;371577717;503473;Дирижирование;960782;Сформированная;Выполненное;7-ПРАВО;
578480G1419/7;17.01.2022;15.01.2022;16.01.2022;0,32;371577844;578480;Нукер;960777;Сформированная;Выполненное;Транзит МС ТД-465;
935046N1675;17.01.2022;15.01.2022;16.01.2022;0,32;371577920;935046;Блоссом;960785;Сформированная;Выполненное;Транзит МС ТД-367;
578480G1419/4;17.01.2022;15.01.2022;16.01.2022;0,32;371577999;578480;Нукер;960786;Сформированная;Выполненное;Транзит МС ТД-423;
770322G3058;15.01.2022;15.01.2022;16.01.2022;0,32;371578008;770322;Булгур;960787;Сформированная;Отложенное;Транзит МС ТД-412;Не наш КА, необходимо проверить корректность приемки
935046G2398;17.01.2022;15.01.2022;16.01.2022;0,32;371578054;935046;Блоссом;960788;Сформированная;Выполненное;Транзит МС ТД-439;
578480G1419;17.01.2022;15.01.2022;16.01.2022;0,32;371578061;578480;Нукер;960789;Сформированная;Выполненное;Транзит МС ТД-435;
760660G2087;17.01.2022;15.01.2022;16.01.2022;0,32;371578238;760660;Ольбрих;960790;Сформированная;Выполненное;Транзит МС ТД-170;
508800G2425;17.01.2022;15.01.2022;16.01.2022;0,31;371578142;508800;Технический;960810;Сформированная;Выполненное;Транзит МС ТД-412;
935046G2398/6;17.01.2022;15.01.2022;16.01.2022;0,31;371578297;935046;Блоссом;960813;Сформированная;Выполненное;Транзит МС ТД-312;
936936N1696;17.01.2022;15.01.2022;16.01.2022;0,31;371578535;936936;Летисия;960825;Сформированная;Выполненное;Транзит МС ТД-366;
578480G1419/5;17.01.2022;15.01.2022;16.01.2022;0,31;371578555;578480;Нукер;960829;Сформированная;Выполненное;Транзит МС ТД-431;
578480N1057;17.01.2022;15.01.2022;16.01.2022;0,31;371578700;578480;Нукер;960815;Сформированная;Выполненное;Транзит МС ТД-427;
935046G2398/7;17.01.2022;15.01.2022;16.01.2022;0,31;371578775;935046;Блоссом;960818;Сформированная;Выполненное;Транзит МС ТД-246;
578480G1419/6;17.01.2022;15.01.2022;16.01.2022;0,31;371578792;578480;Нукер;960820;Сформированная;Выполненное;Транзит МС ТД-255;
502734G2616;17.01.2022;15.01.2022;16.01.2022;0,31;371578810;502734;Ларссон;960821;Сформированная;Выполненное;Транзит МС ТД-255;
931784G1085;17.01.2022;15.01.2022;16.01.2022;0,31;371578859;931784;Хлебопекарня;960853;Сформированная;Выполненное;Транзит МС ТД-279;
997701P77725;17.01.2022;15.01.2022;16.01.2022;0,31;371578862;997701;Солнечногорск 1 Красная;960608;Сформированная;Выполненное;Транзит МС ТД-358;
378261N1015;17.01.2022;15.01.2022;16.01.2022;0,31;371578882;378261;Конголезец;960855;Сформированная;Выполненное;Транзит МС ТД-346;
578480G1419/3;17.01.2022;15.01.2022;16.01.2022;0,31;371579057;578480;Нукер;960866;Сформированная;Выполненное;Транзит МС ТД-250;
996907C06994;17.01.2022;15.01.2022;16.01.2022;0,29;371580259;996907;Вышний Волочек 1 Котовского;960961;Сформированная;Выполненное;Транзит МС ТД-2;
947724N2096;17.01.2022;15.01.2022;16.01.2022;0,24;371583380;947724;Бенгалия;961205;Сформированная;Выполненное;Транзит МС ТД-318;
945030N1678;17.01.2022;15.01.2022;16.01.2022;0,24;371583283;945030;Адиваси;960974;Сформированная;Выполненное;Транзит МС ТД-316;
947724G3099/5;17.01.2022;15.01.2022;16.01.2022;0,24;371583437;947724;Бенгалия;960975;Сформированная;Выполненное;Транзит МС ТД-396;
936913G2650/6;17.01.2022;15.01.2022;16.01.2022;0,24;371583424;936913;Миларит;961210;Сформированная;Выполненное;Транзит МС ТД-414;
937741G2293;17.01.2022;15.01.2022;16.01.2022;0,24;371583441;937741;Мэйбель;960976;Сформированная;Выполненное;Транзит МС ТД-394;
936914G2703;17.01.2022;15.01.2022;16.01.2022;0,24;371583444;936914;Сфалерит;960977;Сформированная;Выполненное;Транзит МС ТД-416;
692877N1192/2;17.01.2022;15.01.2022;16.01.2022;0,24;371583512;692877;Известняк;960978;Сформированная;Выполненное;Транзит МС ТД-379;
945030G2316;17.01.2022;15.01.2022;16.01.2022;0,24;371583519;945030;Адиваси;960979;Сформированная;Выполненное;Транзит МС ТД-386;
936914G2703/5;17.01.2022;15.01.2022;16.01.2022;0,24;371583663;936914;Сфалерит;960980;Сформированная;Выполненное;Транзит МС ТД-449;
947724G3099/3;17.01.2022;15.01.2022;16.01.2022;0,24;371583675;947724;Бенгалия;960981;Сформированная;Выполненное;Транзит МС ТД-422;
509905G2516/3;17.01.2022;15.01.2022;16.01.2022;0,24;371583953;509905;Хлопец;961226;Сформированная;Выполненное;Транзит МС ТД-265;
181612N1172/2;17.01.2022;15.01.2022;16.01.2022;0,24;371583880;181612;Панева;960982;Сформированная;Выполненное;Транзит МС ТД-263;
937741G2293/6;17.01.2022;15.01.2022;16.01.2022;0,23;371584152;937741;Мэйбель;960985;Сформированная;Выполненное;Транзит МС ТД-635;
777822G3866/3;17.01.2022;15.01.2022;16.01.2022;0,21;371585497;777822;Брашно;960988;Сформированная;Выполненное;Транзит МС ТД-273;
503647N1392;17.01.2022;15.01.2022;16.01.2022;0,21;371585521;503647;Корабельщик;960989;Сформированная;Выполненное;Транзит МС ТД-313;
774902G3051/4;17.01.2022;15.01.2022;16.01.2022;0,21;371585534;774902;Мерион;960990;Сформированная;Выполненное;Транзит МС ТД-287;
777822G3866/5;17.01.2022;15.01.2022;16.01.2022;0,21;371585538;777822;Брашно;960991;Сформированная;Выполненное;Транзит МС ТД-289;
777822G3866;17.01.2022;15.01.2022;16.01.2022;0,21;371585567;777822;Брашно;960993;Сформированная;Выполненное;Транзит МС ТД-314;
937776N1751/2;17.01.2022;15.01.2022;16.01.2022;0,21;371585572;937776;Темпура;960994;Сформированная;Выполненное;Транзит МС ТД-310;
937776G2561/8;17.01.2022;15.01.2022;16.01.2022;0,21;371585589;937776;Темпура;960995;Сформированная;Выполненное;Транзит МС ТД-293;
937789G3242/4;17.01.2022;15.01.2022;16.01.2022;0,21;371585602;937789;Панчетта;960996;Сформированная;Выполненное;Транзит МС ТД-291;
937789G3242/2;17.01.2022;15.01.2022;16.01.2022;0,21;371585744;937789;Панчетта;960997;Сформированная;Выполненное;Транзит МС ТД-336;
937776G2561/4;17.01.2022;15.01.2022;16.01.2022;0,21;371585749;937776;Темпура;960998;Сформированная;Выполненное;Транзит МС ТД-19;
937776N1751;17.01.2022;15.01.2022;16.01.2022;0,21;371585756;937776;Темпура;960999;Сформированная;Выполненное;Транзит МС ТД-17;
937789N1966;17.01.2022;15.01.2022;16.01.2022;0,21;371585806;937789;Панчетта;961001;Сформированная;Выполненное;Транзит МС ТД-19;
937776G2561/7;17.01.2022;15.01.2022;16.01.2022;0,21;371585976;937776;Темпура;961004;Сформированная;Выполненное;Транзит МС ТД-31;
774902N1464;17.01.2022;15.01.2022;16.01.2022;0,21;371585983;774902;Мерион;961005;Сформированная;Выполненное;Транзит МС ТД-23;
774902N1464;17.01.2022;15.01.2022;16.01.2022;0,21;371585983;774902;Мерион;961000;Сформированная;Выполненное;Транзит МС ТД-311;
771780G3460;17.01.2022;15.01.2022;16.01.2022;0,21;371586004;771780;Малабо;961006;Сформированная;Выполненное;Транзит МС ТД-130;
937789G3242/6;17.01.2022;15.01.2022;16.01.2022;0,21;371586156;937789;Панчетта;961008;Сформированная;Выполненное;Транзит МС ТД-29;
777822G3866/7;17.01.2022;15.01.2022;16.01.2022;0,20;371586206;777822;Брашно;961011;Сформированная;Выполненное;Транзит МС ТД-25;
770129G5385;17.01.2022;15.01.2022;16.01.2022;0,20;371586073;770129;Яловый;961364;Сформированная;Выполненное;Транзит МС ТД-179;
504054N1611;15.01.2022;15.01.2022;16.01.2022;0,20;371586216;504054;Ньюмаркет;961012;Сформированная;Отложенное;Транзит МС ТД-27;
936913G2650/5;17.01.2022;15.01.2022;16.01.2022;0,20;371586288;936913;Миларит;961018;Сформированная;Выполненное;Транзит МС ТД-136;
503759G2854;17.01.2022;15.01.2022;16.01.2022;0,20;371586309;503759;Гранатомет;961020;Сформированная;Выполненное;Транзит МС ТД-262;
771780G3460/2;17.01.2022;15.01.2022;16.01.2022;0,20;371586306;771780;Малабо;961019;Сформированная;Выполненное;Транзит МС ТД-134;
771780G3460/2;17.01.2022;15.01.2022;16.01.2022;0,20;371586306;771780;Малабо;961015;Сформированная;Выполненное;Транзит МС ТД-31;
937776G2561;17.01.2022;15.01.2022;16.01.2022;0,20;371586315;937776;Темпура;961021;Сформированная;Выполненное;Транзит МС ТД-268;
777822G3866/4;17.01.2022;15.01.2022;16.01.2022;0,20;371586543;777822;Брашно;961381;Сформированная;Выполненное;Транзит МС ТД-284;
502998G2170;15.01.2022;15.01.2022;16.01.2022;0,20;371586499;502998;Ночник;961023;Сформированная;Отложенное;Транзит МС ТД-282;
503647G3008/6;17.01.2022;15.01.2022;16.01.2022;0,20;371586514;503647;Корабельщик;961024;Сформированная;Выполненное;Транзит МС ТД-278;
503759G2854/6;17.01.2022;15.01.2022;16.01.2022;0,20;371586656;503759;Гранатомет;961026;Сформированная;Выполненное;Транзит МС ТД-284;
503759N1437;17.01.2022;15.01.2022;16.01.2022;0,20;371586671;503759;Гранатомет;961027;Сформированная;Выполненное;Транзит МС ТД-282;
947724G3099/4;17.01.2022;15.01.2022;16.01.2022;0,20;371586714;947724;Бенгалия;961028;Сформированная;Выполненное;Транзит МС ТД-318;
770129N1786;17.01.2022;15.01.2022;16.01.2022;0,20;371586724;770129;Яловый;961029;Сформированная;Выполненное;Транзит МС ТД-310;
947724G3099;17.01.2022;15.01.2022;16.01.2022;0,19;371587073;947724;Бенгалия;961424;Сформированная;Выполненное;Транзит МС ТД-47;
770216G4987/7;17.01.2022;15.01.2022;16.01.2022;0,19;371587237;770216;Мейнстрим;961426;Сформированная;Выполненное;Транзит МС ТД-51;
937741G2293/5;17.01.2022;15.01.2022;16.01.2022;0,19;371587241;937741;Мэйбель;961427;Сформированная;Выполненное;Транзит МС ТД-53;
937789G3242/7;17.01.2022;15.01.2022;16.01.2022;0,14;371590239;937789;Панчетта;961501;Сформированная;Выполненное;Транзит МС ТД-244;
777822G3866/6;17.01.2022;15.01.2022;16.01.2022;0,14;371590264;777822;Брашно;961722;Сформированная;Выполненное;Транзит МС ТД-238;
774902G3051;17.01.2022;15.01.2022;16.01.2022;0,14;371590323;774902;Мерион;961723;Сформированная;Выполненное;Транзит МС ТД-243;
936914N1810;17.01.2022;15.01.2022;16.01.2022;0,14;371590664;936914;Сфалерит;961724;Сформированная;Выполненное;Транзит МС ТД-241;
770216G4987/3;17.01.2022;15.01.2022;16.01.2022;0,14;371590696;770216;Мейнстрим;961726;Сформированная;Выполненное;Транзит МС ТД-235;
937789G3242;17.01.2022;15.01.2022;16.01.2022;0,14;371590743;937789;Панчетта;961727;Сформированная;Выполненное;Транзит МС ТД-244;
692877G2195;17.01.2022;15.01.2022;16.01.2022;0,14;371590794;692877;Известняк;961728;Сформированная;Выполненное;Транзит МС ТД-234;
936913N1796;17.01.2022;15.01.2022;16.01.2022;0,14;371591969;936913;Миларит;961731;Сформированная;Выполненное;Транзит МС ТД-227;
770131G5470/4;17.01.2022;15.01.2022;16.01.2022;0,13;371592035;770131;Бакс;961732;Сформированная;Выполненное;Транзит МС ТД-229;
770216G4987;17.01.2022;15.01.2022;16.01.2022;0,13;371592259;770216;Мейнстрим;961734;Сформированная;Выполненное;Транзит МС ТД-223;
945030G2316/4;17.01.2022;15.01.2022;16.01.2022;0,13;371592340;945030;Адиваси;961737;Сформированная;Выполненное;Транзит МС ТД-213;
509905G2516/4;17.01.2022;15.01.2022;16.01.2022;0,13;371592355;509905;Хлопец;961738;Сформированная;Выполненное;Транзит МС ТД-217;
181612GR1881/5;17.01.2022;15.01.2022;16.01.2022;0,13;371592549;181612;Панева;961740;Сформированная;Выполненное;Транзит МС ТД-242;
936914G2703/6;17.01.2022;15.01.2022;16.01.2022;0,13;371592566;936914;Сфалерит;961741;Сформированная;Выполненное;Транзит МС ТД-207;
771780G3460/6;17.01.2022;15.01.2022;16.01.2022;0,13;371592600;771780;Малабо;961852;Сформированная;Выполненное;Транзит МС ТД-205;
503647G3008;17.01.2022;15.01.2022;16.01.2022;0,13;371592624;503647;Корабельщик;961853;Сформированная;Выполненное;Транзит МС ТД-216;
937741N1607;17.01.2022;15.01.2022;16.01.2022;0,12;371592955;937741;Мэйбель;961855;Сформированная;Выполненное;Транзит МС ТД-213;
692877N1192;17.01.2022;15.01.2022;16.01.2022;0,12;371593211;692877;Известняк;961788;Сформированная;Выполненное;Транзит МС ТД-900;
770131GR5470;17.01.2022;15.01.2022;16.01.2022;0,12;371593349;770131;Бакс;961861;Сформированная;Выполненное;Транзит МС ТД-238;
770131G5470/5;17.01.2022;15.01.2022;16.01.2022;0,11;371593404;770131;Бакс;961864;Сформированная;Выполненное;Транзит МС ТД-900;
673090N1462;17.01.2022;15.01.2022;16.01.2022;0,11;371593538;673090;Виндалу;961814;Сформированная;Выполненное;Транзит МС ТД-196;
181612G1881;17.01.2022;15.01.2022;16.01.2022;0,11;371593654;181612;Панева;961865;Сформированная;Выполненное;Транзит МС ТД-227;
504054G3657/6;15.01.2022;15.01.2022;16.01.2022;0,11;371593671;504054;Ньюмаркет;961866;Сформированная;Отложенное;Транзит МС ТД-229;
504054G3657;15.01.2022;15.01.2022;16.01.2022;0,11;371593992;504054;Ньюмаркет;961822;Сформированная;Отложенное;Транзит МС ТД-192;
509905GR2516;17.01.2022;15.01.2022;16.01.2022;0,11;371594096;509905;Хлопец;961868;Сформированная;Выполненное;Транзит МС ТД-236;
691087G3037/4;17.01.2022;15.01.2022;16.01.2022;0,10;371594293;691087;Моментальный;961828;Сформированная;Выполненное;Транзит МС ТД-235;
